date,title,amount
2026-04-16,Pag*Steam,13.25
2026-04-14,Pag*Steam,19.79
2026-04-13,Google Youtubepremium,16.90
2026-04-12,Zul 9 Creditos 21fnhr,9.00
2026-04-11,Padariateixeira,33.25
2026-04-10,Pagamento recebido,-3002.21
2026-04-10,IOF de compra internacional,3.97
2026-04-10,Claude.Ai Subscription,113.58
2026-04-10,Wellhub Gabriel Scholz,69.99
2026-04-10,Mp *Padariateixei,7.51
2026-04-09,Lojas Americanas,21.18
2026-04-09,Zp *Piagu Barbershop,89.90
2026-04-09,Mambembe Mueller,77.60
2026-04-09,Nacional Adm,20.00
2026-04-08,Padariateixeira,22.44
2026-04-07,Pag*Steam,12.54
2026-04-07,Mercado Bom Jesus,45.63
2026-04-07,Mp *Padariateixei,9.55
2026-04-07,Farmacia Nissei,106.13
2026-04-07,Pag*Steam,43.68
2026-04-06,Nuuvem *Nuuvem - Parcela 3/3,81.66
2026-04-06,Servos Store Jockey - Parcela 3/3,59.96
